summary
"01. Outbound: SIN 2025-11-10T11:05:00 → FRA 2025-11-10T17:40:00 | Singapore Airlines | SGD 3,018.41 | A2 C2 ECONOMY || Return : FRA 2025-11-17T21:40:00 → SIN 2025-11-18T17:00:00"
"02. Outbound: SIN 2025-11-10T00:55:00 → NRT 2025-11-10T10:40:00 | Scoot | SGD 2,229.32 | A2 C0 PREMIUM_ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
"03. Outbound: SIN 2025-11-10T08:10:00 → NRT 2025-11-10T18:00:00 | Scoot | SGD 2,229.32 | A2 C0 PREMIUM_ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
"04. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot | SGD 2,429.38 | A2 C0 PREMIUM_ECONOMY || Return : NRT 2025-11-17T19:55:00 → SIN 2025-11-18T04:55:00"
"05. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot | SGD 2,429.38 | A2 C0 PREMIUM_ECONOMY || Return : NRT 2025-11-17T11:55:00 → SIN 2025-11-17T20:55:00"
"01. Outbound: SIN 2025-11-10T14:10:00 → LAX 2025-11-10T19:05:00 | Philippine Airlines | SGD 6,247.66 | A1 C0 BUSINESS || Return : LAX 2025-11-24T10:50:00 → SIN 2025-11-25T23:40:00"
"02. Outbound: SIN 2025-11-10T00:40:00 → LAX 2025-11-10T07:55:00 | Philippine Airlines | SGD 6,247.66 | A1 C0 BUSINESS || Return : LAX 2025-11-24T10:50:00 → SIN 2025-11-25T23:40:00"
"03. Outbound: SIN 2025-11-10T10:35:00 → LAX 2025-11-10T19:05:00 | Philippine Airlines | SGD 6,247.66 | A1 C0 BUSINESS || Return : LAX 2025-11-24T10:50:00 → SIN 2025-11-25T23:40:00"
"04. Outbound: SIN 2025-11-10T22:20:00 → LAX 2025-11-11T00:30:00 | United Airlines | SGD 7,197.96 | A1 C0 BUSINESS || Return : LAX 2025-11-24T08:04:00 → SIN 2025-11-25T20:15:00"
"05. Outbound: SIN 2025-11-10T10:10:00 → LAX 2025-11-10T12:27:00 | United Airlines | SGD 7,197.96 | A1 C0 BUSINESS || Return : LAX 2025-11-24T08:04:00 → SIN 2025-11-25T20:15:00"
"01. Outbound: SIN 2025-11-10T07:40:00 → LAX 2025-11-10T09:15:00 | Cathay Pacific Airways | SGD 3,152.53 | A3 C1 ECONOMY || Return : LAX 2025-11-24T22:35:00 → SIN 2025-11-26T11:55:00"
"02. Outbound: SIN 2025-11-10T14:05:00 → LAX 2025-11-10T16:20:00 | Cathay Pacific Airways | SGD 3,152.53 | A3 C1 ECONOMY || Return : LAX 2025-11-24T22:35:00 → SIN 2025-11-26T11:55:00"
"03. Outbound: SIN 2025-11-10T07:40:00 → LAX 2025-11-10T09:15:00 | Cathay Pacific Airways | SGD 3,152.53 | A3 C1 ECONOMY || Return : LAX 2025-11-24T21:15:00 → SIN 2025-11-26T11:55:00"
"04. Outbound: SIN 2025-11-10T18:00:00 → LAX 2025-11-10T20:55:00 | Cathay Pacific Airways | SGD 3,152.53 | A3 C1 ECONOMY || Return : LAX 2025-11-24T22:35:00 → SIN 2025-11-26T11:55:00"
"05. Outbound: SIN 2025-11-10T14:05:00 → LAX 2025-11-10T16:20:00 | Cathay Pacific Airways | SGD 3,152.53 | A3 C1 ECONOMY || Return : LAX 2025-11-24T21:15:00 → SIN 2025-11-26T11:55:00"
"01. Outbound: ZRH 2025-11-10T12:10:00 → ICN 2025-11-11T10:50:00 | Lufthansa, Swiss | SGD 3,014.04 | A3 C1 ECONOMY || Return : ICN 2025-11-24T13:30:00 → ZRH 2025-11-24T21:45:00"
"02. Outbound: ZRH 2025-11-10T11:25:00 → ICN 2025-11-11T10:50:00 | Lufthansa, Swiss | SGD 3,013.89 | A3 C1 ECONOMY || Return : ICN 2025-11-24T13:30:00 → ZRH 2025-11-24T21:45:00"
"03. Outbound: ZRH 2025-11-10T12:10:00 → ICN 2025-11-11T10:50:00 | Lufthansa, Swiss | SGD 3,063.78 | A3 C1 ECONOMY || Return : ICN 2025-11-24T13:05:00 → ZRH 2025-11-24T21:50:00"
"04. Outbound: ZRH 2025-11-10T10:45:00 → ICN 2025-11-11T10:45:00 | Etihad Airways | SGD 2,769.36 | A3 C1 ECONOMY || Return : ICN 2025-11-24T17:50:00 → ZRH 2025-11-25T06:30:00"
"05. Outbound: ZRH 2025-11-10T11:25:00 → ICN 2025-11-11T10:50:00 | Lufthansa, Swiss | SGD 3,063.63 | A3 C1 ECONOMY || Return : ICN 2025-11-24T13:05:00 → ZRH 2025-11-24T21:50:00"
01. Outbound: ZRH 2025-11-10T21:55:00 → FCO 2025-11-10T23:30:00 | Easyjet | EUR 278.03 | A2 C1 ECONOMY || Return : FCO 2025-11-24T06:00:00 → ZRH 2025-11-24T07:35:00
02. Outbound: ZRH 2025-11-10T08:15:00 → FCO 2025-11-10T09:50:00 | Easyjet | EUR 296.62 | A2 C1 ECONOMY || Return : FCO 2025-11-24T06:00:00 → ZRH 2025-11-24T07:35:00
03. Outbound: ZRH 2025-11-10T17:50:00 → FCO 2025-11-10T19:25:00 | Swiss | EUR 298.37 | A2 C1 ECONOMY || Return : FCO 2025-11-24T20:15:00 → ZRH 2025-11-24T21:50:00
04. Outbound: ZRH 2025-11-10T21:55:00 → FCO 2025-11-10T23:30:00 | Easyjet | EUR 328.41 | A2 C1 ECONOMY || Return : FCO 2025-11-24T19:40:00 → ZRH 2025-11-24T21:20:00
05. Outbound: ZRH 2025-11-10T07:10:00 → FCO 2025-11-10T08:40:00 | Swiss | EUR 342.95 | A2 C1 ECONOMY || Return : FCO 2025-11-24T20:15:00 → ZRH 2025-11-24T21:50:00
01. Outbound: FRA 2025-11-10T07:10:00 → BCN 2025-11-10T09:10:00 | Lufthansa | EUR 360.87 | A2 C1 ECONOMY || Return : BCN 2025-11-18T18:30:00 → FRA 2025-11-18T20:40:00
02. Outbound: FRA 2025-11-10T07:10:00 → BCN 2025-11-10T09:10:00 | Lufthansa | EUR 360.87 | A2 C1 ECONOMY || Return : BCN 2025-11-18T17:10:00 → FRA 2025-11-18T19:20:00
03. Outbound: FRA 2025-11-10T07:10:00 → BCN 2025-11-10T09:10:00 | Lufthansa | EUR 360.87 | A2 C1 ECONOMY || Return : BCN 2025-11-18T13:50:00 → FRA 2025-11-18T16:00:00
04. Outbound: FRA 2025-11-10T07:10:00 → BCN 2025-11-10T09:10:00 | Lufthansa | EUR 360.87 | A2 C1 ECONOMY || Return : BCN 2025-11-18T12:50:00 → FRA 2025-11-18T15:00:00
05. Outbound: FRA 2025-11-10T07:10:00 → BCN 2025-11-10T09:10:00 | Lufthansa | EUR 360.87 | A2 C1 ECONOMY || Return : BCN 2025-11-18T09:55:00 → FRA 2025-11-18T12:05:00
"01. Outbound: ICN 2025-11-10T23:00:00 → SIN 2025-11-11T06:25:00 | Scoot | KRW 1,615,614.27 | A2 C0 PREMIUM_ECONOMY || Return : SIN 2025-11-18T12:30:00 → ICN 2025-11-18T21:45:00"
"02. Outbound: ICN 2025-11-10T23:00:00 → SIN 2025-11-11T06:25:00 | Scoot, Jeju Air | KRW 1,877,327.00 | A2 C0 PREMIUM_ECONOMY || Return : SIN 2025-11-18T01:10:00 → ICN 2025-11-18T08:40:00"
"03. Outbound: ICN 2025-11-10T14:55:00 → SIN 2025-11-11T02:00:00 | Shenzhen  Airlines, Jeju Air | KRW 1,925,882.77 | A2 C0 PREMIUM_ECONOMY || Return : SIN 2025-11-18T01:10:00 → ICN 2025-11-18T08:40:00"
"04. Outbound: ICN 2025-11-10T14:55:00 → SIN 2025-11-11T02:00:00 | Shenzhen  Airlines, Scoot | KRW 1,815,382.48 | A2 C0 PREMIUM_ECONOMY || Return : SIN 2025-11-18T12:30:00 → ICN 2025-11-18T21:45:00"
"05. Outbound: ICN 2025-11-10T15:30:00 → SIN 2025-11-10T21:25:00 | Tway Air, Jeju Air | KRW 2,810,689.59 | A2 C0 PREMIUM_ECONOMY || Return : SIN 2025-11-18T01:10:00 → ICN 2025-11-18T08:40:00"
